### Module positions - created on 2026-01-22 19:35
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D5            LED_0603            LED_0603                      119.1750   -107.1350  118.4250   -107.1350     0.0    top       SMD
D4            WS2812B             LED_WS2812B_PLCC4_5.0x5.0mm.. 111.1050   -110.4850  108.6550   -108.8350     0.0    top       SMD
D3            SS14                D_SMA                         99.9650    -79.8200   97.9650    -79.8200      0.0    top       SMD
D2            SMAJ33A             D_SMA                         99.9650    -75.2700   97.9650    -75.2700      0.0    top       SMD
C44           100nF               C_0603                        105.0200   -98.3650   104.2700   -98.3650      0.0    top       SMD
C42           47uF                C_0603                        105.0200   -95.8450   104.2700   -95.8450      0.0    top       SMD
C41           100nF               C_0603                        105.0200   -93.3250   104.2700   -93.3250      0.0    top       SMD
C40           22pF                C_0603                        105.0200   -90.8050   104.2700   -90.8050      0.0    top       SMD
C39           22pF                C_0603                        105.0200   -88.2850   104.2700   -88.2850      0.0    top       SMD
C38           100nF               C_0603                        105.0200   -85.7650   104.2700   -85.7650      0.0    top       SMD
C37           100nF               C_0603                        101.3700   -98.3650   100.6200   -98.3650      0.0    top       SMD
C36           100nF               C_0603                        101.3700   -95.8450   100.6200   -95.8450      0.0    top       SMD
C35           47uF                C_0603                        108.6700   -46.4850   107.9200   -46.4850      0.0    top       SMD
C34           220nF               C_0603                        101.3700   -93.3250   100.6200   -93.3250      0.0    top       SMD
C33           100nF               C_0603                        105.0200   -64.1250   104.2700   -64.1250      0.0    top       SMD
C32           100nF               C_0603                        101.3700   -90.8050   100.6200   -90.8050      0.0    top       SMD
C31           C_0603              C_0603                        101.3700   -88.2850   100.6200   -88.2850      0.0    top       SMD
C30           100nF               C_0603                        101.3700   -85.7650   100.6200   -85.7650      0.0    top       SMD
C29           100nF               C_0603                        97.7200    -98.3650   96.9700    -98.3650      0.0    top       SMD
C28           100nF               C_0603                        97.7200    -95.8450   96.9700    -95.8450      0.0    top       SMD
C27           100nF               C_0603                        97.7200    -93.3250   96.9700    -93.3250      0.0    top       SMD
C26           100nF               C_0603                        97.7200    -90.8050   96.9700    -90.8050      0.0    top       SMD
C25           2.2nF               C_0603                        97.7200    -88.2850   96.9700    -88.2850      0.0    top       SMD
C24           100nF               C_0603                        97.7200    -85.7650   96.9700    -85.7650      0.0    top       SMD
C23           1uF                 C_0603                        105.0200   -61.6050   104.2700   -61.6050      0.0    top       SMD
C22           100nF               C_0603                        105.0200   -59.0850   104.2700   -59.0850      0.0    top       SMD
C21           22uF                C_0603                        105.0200   -56.5650   104.2700   -56.5650      0.0    top       SMD
C20           22nF                C_0603                        105.0200   -54.0450   104.2700   -54.0450      0.0    top       SMD
